node_id,node_name,alias,node_iri,ds_id,ds_name,node_attributes
1,movements,movements,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/movements,1,tate_artworks_t_1,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
12,children,subjects___children,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/children,1,tate_artworks_t_1,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
16,subjects,subjects,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/subjects,1,tate_artworks_t_1,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
20,dateRange,dateRange,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/dateRange,1,tate_artworks_t_1,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
25,contributors,contributors,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/contributors,1,tate_artworks_t_1,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
33,children,subjects___children___children,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/children_id2,1,tate_artworks_t_1,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
34,era,movements___era,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/era,1,tate_artworks_t_1,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
37,tate_artworks_t_1,tate_artworks_t_1,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/tate_artworks_t_1,1,tate_artworks_t_1,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
42,children,subjects___children___children___children,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/children_id3,1,tate_artworks_t_1,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
106,dateRange,dateRange,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/2/dateRange,2,tate_artworks_t_2,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
109,children,subjects___children,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/2/children,2,tate_artworks_t_2,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
112,subjects,subjects,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/2/subjects,2,tate_artworks_t_2,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
116,contributors,contributors,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/2/contributors,2,tate_artworks_t_2,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
120,era,movements___era,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/2/era,2,tate_artworks_t_2,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
123,children,subjects___children___children,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/2/children_id2,2,tate_artworks_t_2,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
126,children,subjects___children___children___children,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/2/children_id3,2,tate_artworks_t_2,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
129,tate_artworks_t_2,tate_artworks_t_2,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/2/tate_artworks_t_2,2,tate_artworks_t_2,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
132,movements,movements,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/2/movements,2,tate_artworks_t_2,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
168,dateRange,dateRange,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/3/dateRange,3,tate_artworks_t_3,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
169,subjects,subjects,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/3/subjects,3,tate_artworks_t_3,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
170,tate_artworks_t_3,tate_artworks_t_3,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/3/tate_artworks_t_3,3,tate_artworks_t_3,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
172,era,movements___era,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/3/era,3,tate_artworks_t_3,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
173,children,subjects___children___children,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/3/children_id2,3,tate_artworks_t_3,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
175,children,subjects___children,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/3/children,3,tate_artworks_t_3,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
177,movements,movements,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/3/movements,3,tate_artworks_t_3,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
180,children,subjects___children___children___children,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/3/children_id3,3,tate_artworks_t_3,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
183,contributors,contributors,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/3/contributors,3,tate_artworks_t_3,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
226,contributors,contributors,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/4/contributors,4,tate_artworks_t_4,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
227,dateRange,dateRange,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/4/dateRange,4,tate_artworks_t_4,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
229,children,subjects___children,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/4/children,4,tate_artworks_t_4,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
231,subjects,subjects,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/4/subjects,4,tate_artworks_t_4,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
233,era,movements___era,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/4/era,4,tate_artworks_t_4,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
