src_id,dst_id,link_type,str_type,link_weight
0,1403,strAttribute,1,1
1,24,strAttribute,1,1
2,8,strAttribute,1,1
3,15,strAttribute,1,1
4,17,strAttribute,1,1
5,25,strAttribute,1,1
6,38,strAttribute,1,1
7,7,strAttribute,1,1
8,1401,strAttribute,1,1
9,37,strAttribute,1,1
10,19,strAttribute,1,1
11,0,strAttribute,1,1
12,46,strAttribute,1,1
13,14,strAttribute,1,1
14,61,strAttribute,1,1
15,10,strAttribute,1,1
16,25,strAttribute,1,1
17,15,strAttribute,1,1
18,4,strAttribute,1,1
19,1400,strAttribute,1,1
20,22,strAttribute,1,1
21,23,strAttribute,1,1
22,78,strAttribute,1,1
23,24,strAttribute,1,1
24,37,strAttribute,1,1
25,10,strAttribute,1,1
26,40,strAttribute,1,1
27,4,strAttribute,1,1
28,73,strAttribute,1,1
29,1401,strAttribute,1,1
30,3,strAttribute,1,1
31,28,strAttribute,1,1
32,25,strAttribute,1,1
33,10,strAttribute,1,1
34,64,strAttribute,1,1
35,57,strAttribute,1,1
36,1402,strAttribute,1,1
37,21,strAttribute,1,1
38,32,strAttribute,1,1
39,3,strAttribute,1,1
40,37,strAttribute,1,1
41,15,strAttribute,1,1
42,4,strAttribute,1,1
43,1400,strAttribute,1,1
44,69,strAttribute,1,1
45,0,strAttribute,1,1
46,40,strAttribute,1,1
47,13,strAttribute,1,1
48,10,strAttribute,1,1
49,42,strAttribute,1,1
50,99,strAttribute,1,1
51,38,strAttribute,1,1
52,1401,strAttribute,1,1
53,24,strAttribute,1,1
54,32,strAttribute,1,1
55,21,strAttribute,1,1
56,10,strAttribute,1,1
57,37,strAttribute,1,1
58,3,strAttribute,1,1
59,27,strAttribute,1,1
60,87,strAttribute,1,1
61,17,strAttribute,1,1
62,1402,strAttribute,1,1
63,4,strAttribute,1,1
64,15,strAttribute,1,1
65,34,strAttribute,1,1
66,62,strAttribute,1,1
67,24,strAttribute,1,1
68,58,strAttribute,1,1
69,1403,strAttribute,1,1
70,35,strAttribute,1,1
71,4,strAttribute,1,1
72,10,strAttribute,1,1
73,37,strAttribute,1,1
74,81,strAttribute,1,1
75,4,strAttribute,1,1
76,58,strAttribute,1,1
77,19,strAttribute,1,1
78,1401,strAttribute,1,1
79,0,strAttribute,1,1
80,37,strAttribute,1,1
81,15,strAttribute,1,1
82,24,strAttribute,1,1
83,87,strAttribute,1,1
84,1403,strAttribute,1,1
85,26,strAttribute,1,1
86,6,strAttribute,1,1
87,0,strAttribute,1,1
88,37,strAttribute,1,1
89,2,strAttribute,1,1
90,118,strAttribute,1,1
91,50,strAttribute,1,1
92,59,strAttribute,1,1
93,1438,strAttribute,1,1
94,14,strAttribute,1,1
95,9,strAttribute,1,1
96,37,strAttribute,1,1
97,118,strAttribute,1,1
98,15,strAttribute,1,1
99,94,strAttribute,1,1
100,22,strAttribute,1,1
101,1434,strAttribute,1,1
102,35,strAttribute,1,1
103,8,strAttribute,1,1
104,37,strAttribute,1,1
105,15,strAttribute,1,1
106,110,strAttribute,1,1
107,90,strAttribute,1,1
108,4,strAttribute,1,1
109,46,strAttribute,1,1
110,20,strAttribute,1,1
111,1434,strAttribute,1,1
112,23,strAttribute,1,1
113,118,strAttribute,1,1
114,15,strAttribute,1,1
115,99,strAttribute,1,1
116,14,strAttribute,1,1
117,46,strAttribute,1,1
118,9,strAttribute,1,1
119,25,strAttribute,1,1
120,1436,strAttribute,1,1
121,110,strAttribute,1,1
122,10,strAttribute,1,1
123,103,strAttribute,1,1
124,4,strAttribute,1,1
125,52,strAttribute,1,1
126,1431,strAttribute,1,1
127,16,strAttribute,1,1
128,9,strAttribute,1,1
129,105,strAttribute,1,1
130,15,strAttribute,1,1
131,85,strAttribute,1,1
132,4,strAttribute,1,1
133,57,strAttribute,1,1
134,35,strAttribute,1,1
135,1434,strAttribute,1,1
136,37,strAttribute,1,1
137,118,strAttribute,1,1
138,10,strAttribute,1,1
139,97,strAttribute,1,1
140,4,strAttribute,1,1
141,1438,strAttribute,1,1
142,0,strAttribute,1,1
143,58,strAttribute,1,1
144,37,strAttribute,1,1
145,118,strAttribute,1,1
146,15,strAttribute,1,1
147,74,strAttribute,1,1
148,4,strAttribute,1,1
149,1436,strAttribute,1,1
150,28,strAttribute,1,1
151,25,strAttribute,1,1
152,114,strAttribute,1,1
153,36,strAttribute,1,1
154,15,strAttribute,1,1
155,14,strAttribute,1,1
156,62,strAttribute,1,1
157,1431,strAttribute,1,1
158,32,strAttribute,1,1
159,37,strAttribute,1,1
160,114,strAttribute,1,1
161,46,strAttribute,1,1
162,15,strAttribute,1,1
163,81,strAttribute,1,1
164,26,strAttribute,1,1
165,1436,strAttribute,1,1
166,39,strAttribute,1,1
167,1,strAttribute,1,1
168,114,strAttribute,1,1
169,36,strAttribute,1,1
170,10,strAttribute,1,1
171,71,strAttribute,1,1
172,142,strAttribute,1,1
173,1533,strAttribute,1,1
174,39,strAttribute,1,1
175,37,strAttribute,1,1
176,163,strAttribute,1,1
177,27,strAttribute,1,1
178,15,strAttribute,1,1
179,81,strAttribute,1,1
180,140,strAttribute,1,1
181,1535,strAttribute,1,1
182,23,strAttribute,1,1
183,37,strAttribute,1,1
184,18,strAttribute,1,1
185,165,strAttribute,1,1
186,10,strAttribute,1,1
187,65,strAttribute,1,1
188,140,strAttribute,1,1
189,0,strAttribute,1,1
190,1533,strAttribute,1,1
191,12,strAttribute,1,1
192,163,strAttribute,1,1
193,15,strAttribute,1,1
194,22,strAttribute,1,1
195,71,strAttribute,1,1
196,140,strAttribute,1,1
197,1535,strAttribute,1,1
198,9,strAttribute,1,1
199,33,strAttribute,1,1
200,145,strAttribute,1,1
201,163,strAttribute,1,1
202,18,strAttribute,1,1
203,63,strAttribute,1,1
204,1527,strAttribute,1,1
205,144,strAttribute,1,1
206,35,strAttribute,1,1
207,25,strAttribute,1,1
208,146,strAttribute,1,1
209,163,strAttribute,1,1
210,46,strAttribute,1,1
211,59,strAttribute,1,1
212,140,strAttribute,1,1
213,1533,strAttribute,1,1
214,0,strAttribute,1,1
215,37,strAttribute,1,1
216,145,strAttribute,1,1
217,165,strAttribute,1,1
218,38,strAttribute,1,1
219,71,strAttribute,1,1
220,144,strAttribute,1,1
221,127,strAttribute,1,1
222,1531,strAttribute,1,1
223,146,strAttribute,1,1
224,37,strAttribute,1,1
225,43,strAttribute,1,1
226,167,strAttribute,1,1
227,65,strAttribute,1,1
228,117,strAttribute,1,1
229,137,strAttribute,1,1
230,1527,strAttribute,1,1
231,163,strAttribute,1,1
232,37,strAttribute,1,1
233,146,strAttribute,1,1
234,27,strAttribute,1,1
235,85,strAttribute,1,1
236,121,strAttribute,1,1
237,142,strAttribute,1,1
238,1531,strAttribute,1,1
239,164,strAttribute,1,1
240,145,strAttribute,1,1
241,50,strAttribute,1,1
242,129,strAttribute,1,1
243,103,strAttribute,1,1
244,135,strAttribute,1,1
245,139,strAttribute,1,1
246,1531,strAttribute,1,1
247,164,strAttribute,1,1
248,129,strAttribute,1,1
249,145,strAttribute,1,1
250,46,strAttribute,1,1
251,135,strAttribute,1,1
252,59,strAttribute,1,1
253,116,strAttribute,1,1
254,142,strAttribute,1,1
255,1533,strAttribute,1,1
256,145,strAttribute,1,1
257,164,strAttribute,1,1
258,52,strAttribute,1,1
259,86,strAttribute,1,1
260,133,strAttribute,1,1
261,116,strAttribute,1,1
262,140,strAttribute,1,1
263,57,strAttribute,1,1
264,194,strAttribute,1,1
265,1620,strAttribute,1,1
266,146,strAttribute,1,1
267,87,strAttribute,1,1
268,121,strAttribute,1,1
269,129,strAttribute,1,1
270,140,strAttribute,1,1
271,193,strAttribute,1,1
272,40,strAttribute,1,1
273,1618,strAttribute,1,1
274,146,strAttribute,1,1
