src_id,dst_id,link_type,str_type,link_weight
37,96,strAttribute,1,1
37,224,strAttribute,1,1
20,110,strAttribute,1,1
37,232,strAttribute,1,1
33,199,strAttribute,1,1
12,191,strAttribute,1,1
37,9,strAttribute,1,1
37,57,strAttribute,1,1
37,24,strAttribute,1,1
37,144,strAttribute,1,1
25,207,strAttribute,1,1
37,159,strAttribute,1,1
37,215,strAttribute,1,1
37,175,strAttribute,1,1
37,104,strAttribute,1,1
42,49,strAttribute,1,1
25,5,strAttribute,1,1
37,136,strAttribute,1,1
37,88,strAttribute,1,1
25,151,strAttribute,1,1
37,73,strAttribute,1,1
25,32,strAttribute,1,1
37,183,strAttribute,1,1
37,40,strAttribute,1,1
16,127,strAttribute,1,1
25,119,strAttribute,1,1
1,167,strAttribute,1,1
37,80,strAttribute,1,1
34,65,strAttribute,1,1
25,16,strAttribute,1,1
106,438,strAttribute,1,1
129,277,strAttribute,1,1
129,413,strAttribute,1,1
109,469,strAttribute,1,1
129,333,strAttribute,1,1
129,395,strAttribute,1,1
126,373,strAttribute,1,1
129,358,strAttribute,1,1
129,366,strAttribute,1,1
116,429,strAttribute,1,1
129,422,strAttribute,1,1
120,325,strAttribute,1,1
129,309,strAttribute,1,1
123,317,strAttribute,1,1
116,386,strAttribute,1,1
129,445,strAttribute,1,1
116,294,strAttribute,1,1
129,341,strAttribute,1,1
116,253,strAttribute,1,1
129,350,strAttribute,1,1
129,242,strAttribute,1,1
129,301,strAttribute,1,1
129,405,strAttribute,1,1
132,461,strAttribute,1,1
112,286,strAttribute,1,1
129,269,strAttribute,1,1
116,261,strAttribute,1,1
116,454,strAttribute,1,1
129,248,strAttribute,1,1
129,382,strAttribute,1,1
170,517,strAttribute,1,1
170,702,strAttribute,1,1
183,557,strAttribute,1,1
183,493,strAttribute,1,1
183,636,strAttribute,1,1
170,682,strAttribute,1,1
170,580,strAttribute,1,1
183,709,strAttribute,1,1
183,652,strAttribute,1,1
169,677,strAttribute,1,1
170,523,strAttribute,1,1
170,612,strAttribute,1,1
172,531,strAttribute,1,1
170,620,strAttribute,1,1
180,539,strAttribute,1,1
183,506,strAttribute,1,1
177,563,strAttribute,1,1
170,693,strAttribute,1,1
170,477,strAttribute,1,1
173,501,strAttribute,1,1
170,659,strAttribute,1,1
170,549,strAttribute,1,1
175,588,strAttribute,1,1
170,628,strAttribute,1,1
170,666,strAttribute,1,1
168,603,strAttribute,1,1
170,485,strAttribute,1,1
170,598,strAttribute,1,1
170,572,strAttribute,1,1
170,643,strAttribute,1,1
231,717,strAttribute,1,1
226,943,strAttribute,1,1
237,760,strAttribute,1,1
237,855,strAttribute,1,1
237,862,strAttribute,1,1
244,928,strAttribute,1,1
237,876,strAttribute,1,1
237,775,strAttribute,1,1
237,919,strAttribute,1,1
237,733,strAttribute,1,1
237,815,strAttribute,1,1
226,750,strAttribute,1,1
240,726,strAttribute,1,1
226,742,strAttribute,1,1
237,892,strAttribute,1,1
229,912,strAttribute,1,1
227,831,strAttribute,1,1
237,791,strAttribute,1,1
245,799,strAttribute,1,1
237,935,strAttribute,1,1
226,902,strAttribute,1,1
237,822,strAttribute,1,1
226,784,strAttribute,1,1
233,951,strAttribute,1,1
237,884,strAttribute,1,1
237,806,strAttribute,1,1
237,768,strAttribute,1,1
237,837,strAttribute,1,1
226,871,strAttribute,1,1
237,846,strAttribute,1,1
383,1069,strAttribute,1,1
386,1078,strAttribute,1,1
386,1000,strAttribute,1,1
383,1129,strAttribute,1,1
382,1048,strAttribute,1,1
389,1121,strAttribute,1,1
381,1223,strAttribute,1,1
386,992,strAttribute,1,1
382,1064,strAttribute,1,1
382,1194,strAttribute,1,1
386,1088,strAttribute,1,1
382,1233,strAttribute,1,1
382,1111,strAttribute,1,1
382,1177,strAttribute,1,1
384,1155,strAttribute,1,1
382,1025,strAttribute,1,1
385,976,strAttribute,1,1
387,960,strAttribute,1,1
382,1162,strAttribute,1,1
386,967,strAttribute,1,1
382,1202,strAttribute,1,1
382,1103,strAttribute,1,1
381,1185,strAttribute,1,1
382,1016,strAttribute,1,1
381,1032,strAttribute,1,1
381,1094,strAttribute,1,1
382,1208,strAttribute,1,1
386,1148,strAttribute,1,1
390,1056,strAttribute,1,1
381,984,strAttribute,1,1
383,1170,strAttribute,1,1
382,1139,strAttribute,1,1
388,1217,strAttribute,1,1
382,1040,strAttribute,1,1
382,1009,strAttribute,1,1
454,1363,strAttribute,1,1
454,1246,strAttribute,1,1
440,1331,strAttribute,1,1
440,1339,strAttribute,1,1
449,1267,strAttribute,1,1
440,1355,strAttribute,1,1
436,1457,strAttribute,1,1
440,1441,strAttribute,1,1
438,1433,strAttribute,1,1
440,1273,strAttribute,1,1
454,1505,strAttribute,1,1
440,1411,strAttribute,1,1
440,1489,strAttribute,1,1
436,1403,strAttribute,1,1
436,1379,strAttribute,1,1
436,1395,strAttribute,1,1
442,1481,strAttribute,1,1
436,1371,strAttribute,1,1
433,1347,strAttribute,1,1
440,1298,strAttribute,1,1
440,1513,strAttribute,1,1
440,1282,strAttribute,1,1
454,1472,strAttribute,1,1
449,1498,strAttribute,1,1
454,1258,strAttribute,1,1
440,1242,strAttribute,1,1
451,1464,strAttribute,1,1
446,1425,strAttribute,1,1
440,1449,strAttribute,1,1
440,1419,strAttribute,1,1
440,1290,strAttribute,1,1
454,1315,strAttribute,1,1
449,1305,strAttribute,1,1
443,1323,strAttribute,1,1
440,1387,strAttribute,1,1
525,1766,strAttribute,1,1
518,1773,strAttribute,1,1
518,1675,strAttribute,1,1
522,1797,strAttribute,1,1
520,1611,strAttribute,1,1
518,1691,strAttribute,1,1
518,1521,strAttribute,1,1
518,1603,strAttribute,1,1
528,1651,strAttribute,1,1
518,1715,strAttribute,1,1
525,1584,strAttribute,1,1
521,1733,strAttribute,1,1
520,1570,strAttribute,1,1
523,1781,strAttribute,1,1
520,1723,strAttribute,1,1
526,1740,strAttribute,1,1
518,1758,strAttribute,1,1
518,1537,strAttribute,1,1
524,1633,strAttribute,1,1
525,1553,strAttribute,1,1
525,1699,strAttribute,1,1
518,1707,strAttribute,1,1
520,1618,strAttribute,1,1
525,1658,strAttribute,1,1
522,1625,strAttribute,1,1
519,1562,strAttribute,1,1
525,1641,strAttribute,1,1
518,1528,strAttribute,1,1
518,1544,strAttribute,1,1
518,1749,strAttribute,1,1
518,1666,strAttribute,1,1
522,1592,strAttribute,1,1
518,1789,strAttribute,1,1
520,1683,strAttribute,1,1
518,1576,strAttribute,1,1
53,1844,strAttribute,1,1
53,1874,strAttribute,1,1
45,1859,strAttribute,1,1
49,1812,strAttribute,1,1
44,1828,strAttribute,1,1
47,1883,strAttribute,1,1
5,1924,strAttribute,1,1
5,1867,strAttribute,1,1
44,1915,strAttribute,1,1
53,1932,strAttribute,1,1
47,1899,strAttribute,1,1
47,1820,strAttribute,1,1
5,1852,strAttribute,1,1
47,1805,strAttribute,1,1
44,1836,strAttribute,1,1
47,1892,strAttribute,1,1
47,1907,strAttribute,1,1
136,1940,strAttribute,1,1
122,1994,strAttribute,1,1
128,2067,strAttribute,1,1
136,2044,strAttribute,1,1
128,2036,strAttribute,1,1
128,2027,strAttribute,1,1
107,1972,strAttribute,1,1
131,2052,strAttribute,1,1
136,1978,strAttribute,1,1
119,2018,strAttribute,1,1
136,1986,strAttribute,1,1
119,1962,strAttribute,1,1
136,2060,strAttribute,1,1
107,1954,strAttribute,1,1
136,1949,strAttribute,1,1
119,2011,strAttribute,1,1
107,2002,strAttribute,1,1
214,2178,strAttribute,1,1
204,2074,strAttribute,1,1
214,2155,strAttribute,1,1
210,2099,strAttribute,1,1
210,2138,strAttribute,1,1
