src_id,dst_id,link_type,str_type,link_weight
42,3,numAttribute,1,1
33,21,numAttribute,1,1
25,82,numAttribute,1,1
37,90,numAttribute,1,1
25,55,numAttribute,1,1
37,60,numAttribute,1,1
12,76,numAttribute,1,1
37,36,numAttribute,1,1
25,69,numAttribute,1,1
37,108,numAttribute,1,1
1,122,numAttribute,1,1
37,13,numAttribute,1,1
34,115,numAttribute,1,1
20,44,numAttribute,1,1
16,100,numAttribute,1,1
20,31,numAttribute,1,1
109,151,numAttribute,1,1
120,252,numAttribute,1,1
132,166,numAttribute,1,1
123,236,numAttribute,1,1
129,243,numAttribute,1,1
106,141,numAttribute,1,1
116,158,numAttribute,1,1
106,191,numAttribute,1,1
116,175,numAttribute,1,1
116,182,numAttribute,1,1
129,227,numAttribute,1,1
129,260,numAttribute,1,1
129,210,numAttribute,1,1
129,201,numAttribute,1,1
126,220,numAttribute,1,1
112,131,numAttribute,1,1
170,379,numAttribute,1,1
180,300,numAttribute,1,1
183,323,numAttribute,1,1
170,268,numAttribute,1,1
170,331,numAttribute,1,1
172,291,numAttribute,1,1
175,355,numAttribute,1,1
169,371,numAttribute,1,1
168,284,numAttribute,1,1
177,363,numAttribute,1,1
183,316,numAttribute,1,1
168,340,numAttribute,1,1
170,387,numAttribute,1,1
170,347,numAttribute,1,1
173,276,numAttribute,1,1
183,308,numAttribute,1,1
240,464,numAttribute,1,1
245,402,numAttribute,1,1
226,394,numAttribute,1,1
237,480,numAttribute,1,1
227,418,numAttribute,1,1
227,498,numAttribute,1,1
237,515,numAttribute,1,1
237,410,numAttribute,1,1
244,447,numAttribute,1,1
226,472,numAttribute,1,1
229,439,numAttribute,1,1
237,490,numAttribute,1,1
237,433,numAttribute,1,1
233,507,numAttribute,1,1
226,455,numAttribute,1,1
231,425,numAttribute,1,1
385,668,numAttribute,1,1
390,554,numAttribute,1,1
383,637,numAttribute,1,1
386,546,numAttribute,1,1
386,585,numAttribute,1,1
382,579,numAttribute,1,1
381,660,numAttribute,1,1
382,571,numAttribute,1,1
390,618,numAttribute,1,1
382,563,numAttribute,1,1
382,593,numAttribute,1,1
382,611,numAttribute,1,1
383,653,numAttribute,1,1
387,602,numAttribute,1,1
388,521,numAttribute,1,1
383,629,numAttribute,1,1
382,539,numAttribute,1,1
384,645,numAttribute,1,1
386,532,numAttribute,1,1
440,793,numAttribute,1,1
440,696,numAttribute,1,1
454,759,numAttribute,1,1
442,776,numAttribute,1,1
449,734,numAttribute,1,1
436,753,numAttribute,1,1
449,687,numAttribute,1,1
440,768,numAttribute,1,1
433,718,numAttribute,1,1
454,710,numAttribute,1,1
438,824,numAttribute,1,1
454,816,numAttribute,1,1
446,809,numAttribute,1,1
438,678,numAttribute,1,1
451,743,numAttribute,1,1
440,785,numAttribute,1,1
449,702,numAttribute,1,1
440,725,numAttribute,1,1
440,799,numAttribute,1,1
525,968,numAttribute,1,1
522,904,numAttribute,1,1
518,896,numAttribute,1,1
522,866,numAttribute,1,1
522,856,numAttribute,1,1
518,888,numAttribute,1,1
523,952,numAttribute,1,1
519,840,numAttribute,1,1
518,938,numAttribute,1,1
526,977,numAttribute,1,1
525,912,numAttribute,1,1
528,961,numAttribute,1,1
518,920,numAttribute,1,1
518,927,numAttribute,1,1
520,831,numAttribute,1,1
521,879,numAttribute,1,1
525,874,numAttribute,1,1
518,943,numAttribute,1,1
523,848,numAttribute,1,1
47,1033,numAttribute,1,1
56,984,numAttribute,1,1
47,1026,numAttribute,1,1
51,1041,numAttribute,1,1
45,1004,numAttribute,1,1
47,1017,numAttribute,1,1
47,1011,numAttribute,1,1
49,994,numAttribute,1,1
136,1065,numAttribute,1,1
134,1081,numAttribute,1,1
131,1056,numAttribute,1,1
122,1104,numAttribute,1,1
136,1049,numAttribute,1,1
136,1073,numAttribute,1,1
136,1088,numAttribute,1,1
115,1096,numAttribute,1,1
214,1155,numAttribute,1,1
214,1144,numAttribute,1,1
214,1128,numAttribute,1,1
208,1112,numAttribute,1,1
200,1136,numAttribute,1,1
196,1168,numAttribute,1,1
204,1120,numAttribute,1,1
214,1150,numAttribute,1,1
268,1211,numAttribute,1,1
278,1227,numAttribute,1,1
270,1203,numAttribute,1,1
268,1188,numAttribute,1,1
276,1195,numAttribute,1,1
268,1180,numAttribute,1,1
266,1173,numAttribute,1,1
268,1219,numAttribute,1,1
371,1276,numAttribute,1,1
365,1235,numAttribute,1,1
365,1251,numAttribute,1,1
352,1284,numAttribute,1,1
365,1243,numAttribute,1,1
365,1259,numAttribute,1,1
368,1267,numAttribute,1,1
377,1292,numAttribute,1,1
611,1353,numAttribute,1,1
611,1300,numAttribute,1,1
611,1327,numAttribute,1,1
614,1347,numAttribute,1,1
604,1333,numAttribute,1,1
611,1318,numAttribute,1,1
617,1340,numAttribute,1,1
613,1310,numAttribute,1,1
635,1361,numAttribute,1,1
635,1368,numAttribute,1,1
635,1373,numAttribute,1,1
635,1379,numAttribute,1,1
15,649,numAttribute,1,1
15,641,numAttribute,1,1
15,655,numAttribute,1,1
15,632,numAttribute,1,1
145,680,numAttribute,1,1
145,688,numAttribute,1,1
145,673,numAttribute,1,1
145,664,numAttribute,1,1
222,695,numAttribute,1,1
222,717,numAttribute,1,1
222,711,numAttribute,1,1
222,703,numAttribute,1,1
246,741,numAttribute,1,1
246,735,numAttribute,1,1
246,751,numAttribute,1,1
246,727,numAttribute,1,1
275,773,numAttribute,1,1
275,766,numAttribute,1,1
275,758,numAttribute,1,1
275,781,numAttribute,1,1
324,805,numAttribute,1,1
324,789,numAttribute,1,1
324,813,numAttribute,1,1
324,798,numAttribute,1,1
391,821,numAttribute,1,1
391,829,numAttribute,1,1
391,845,numAttribute,1,1
391,837,numAttribute,1,1
416,852,numAttribute,1,1
416,869,numAttribute,1,1
416,860,numAttribute,1,1
416,877,numAttribute,1,1
478,905,numAttribute,1,1
478,898,numAttribute,1,1
478,884,numAttribute,1,1
478,890,numAttribute,1,1
589,915,numAttribute,1,1
589,932,numAttribute,1,1
589,924,numAttribute,1,1
628,947,numAttribute,1,1
628,940,numAttribute,1,1
628,956,numAttribute,1,1
688,976,numAttribute,1,1
688,960,numAttribute,1,1
688,969,numAttribute,1,1
728,999,numAttribute,1,1
728,992,numAttribute,1,1
728,983,numAttribute,1,1
778,1023,numAttribute,1,1
778,1016,numAttribute,1,1
778,1007,numAttribute,1,1
938,1031,numAttribute,1,1
101,6,numAttribute,1,1
315,11,numAttribute,1,1
468,18,numAttribute,1,1
637,28,numAttribute,1,1
1237,45,numAttribute,1,1
1237,39,numAttribute,1,1
1009,63,numAttribute,1,1
1009,53,numAttribute,1,1
1052,71,numAttribute,1,1
1052,79,numAttribute,1,1
1118,95,numAttribute,1,1
1118,87,numAttribute,1,1
1155,103,numAttribute,1,1
1222,111,numAttribute,1,1
1289,119,numAttribute,1,1
1293,127,numAttribute,1,1
1291,135,numAttribute,1,1
1328,197,numAttribute,1,1
1343,190,numAttribute,1,1
1343,159,numAttribute,1,1
1337,143,numAttribute,1,1
1341,174,numAttribute,1,1
1343,206,numAttribute,1,1
1343,167,numAttribute,1,1
1343,150,numAttribute,1,1
1328,183,numAttribute,1,1
1340,213,numAttribute,1,1
1637,271,numAttribute,1,1
1637,222,numAttribute,1,1
1627,255,numAttribute,1,1
1393,231,numAttribute,1,1
1637,286,numAttribute,1,1
1625,247,numAttribute,1,1
1393,239,numAttribute,1,1
1637,278,numAttribute,1,1
1637,262,numAttribute,1,1
1622,294,numAttribute,1,1
1698,349,numAttribute,1,1
1702,364,numAttribute,1,1
1703,319,numAttribute,1,1
1707,311,numAttribute,1,1
1702,342,numAttribute,1,1
1702,303,numAttribute,1,1
1702,327,numAttribute,1,1
1707,335,numAttribute,1,1
1702,356,numAttribute,1,1
1696,372,numAttribute,1,1
1478,435,numAttribute,1,1
1478,420,numAttribute,1,1
1470,412,numAttribute,1,1
1483,428,numAttribute,1,1
1474,405,numAttribute,1,1
1478,397,numAttribute,1,1
1478,443,numAttribute,1,1
1474,381,numAttribute,1,1
1478,389,numAttribute,1,1
1481,450,numAttribute,1,1
1607,520,numAttribute,1,1
1594,503,numAttribute,1,1
1601,488,numAttribute,1,1
1601,465,numAttribute,1,1
1601,479,numAttribute,1,1
1612,473,numAttribute,1,1
1601,495,numAttribute,1,1
1601,457,numAttribute,1,1
1612,511,numAttribute,1,1
1595,528,numAttribute,1,1
1669,535,numAttribute,1,1
1666,577,numAttribute,1,1
1669,553,numAttribute,1,1
1669,569,numAttribute,1,1
1677,583,numAttribute,1,1
1669,601,numAttribute,1,1
1666,592,numAttribute,1,1
1669,560,numAttribute,1,1
1670,544,numAttribute,1,1
1679,609,numAttribute,1,1
1718,616,numAttribute,1,1
1718,624,numAttribute,1,1
24,12,numAttribute,1,1
24,0,numAttribute,1,1
118,23,numAttribute,1,1
118,30,numAttribute,1,1
163,47,numAttribute,1,1
163,35,numAttribute,1,1
195,52,numAttribute,1,1
195,61,numAttribute,1,1
243,77,numAttribute,1,1
243,68,numAttribute,1,1
357,125,numAttribute,1,1
367,84,numAttribute,1,1
373,109,numAttribute,1,1
338,134,numAttribute,1,1
338,93,numAttribute,1,1
347,101,numAttribute,1,1
345,117,numAttribute,1,1
354,149,numAttribute,1,1
364,204,numAttribute,1,1
338,157,numAttribute,1,1
338,173,numAttribute,1,1
338,181,numAttribute,1,1
338,165,numAttribute,1,1
338,189,numAttribute,1,1
338,198,numAttribute,1,1
338,142,numAttribute,1,1
430,263,numAttribute,1,1
415,230,numAttribute,1,1
409,214,numAttribute,1,1
429,246,numAttribute,1,1
