node_id,node_name,node_iri,ds_id,ds_name,node_attributes
3,id,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/children_id3_id,1,tate_artworks_t_1,"0.6944734360186098,0.4106324472960587,1.2117932210939977,0.0,-0.04101906483096999,-0.04101905653867241,-0.04101907930383322,-0.09151880601433063,0.7985557901673588,-0.04101903796198054,-0.04101903256945229,-0.041019002246571026,0.3013392857142857,0.14620535714285715,0.09375,0.09709821428571429,0.11049107142857142,0.10044642857142858,0.060267857142857144,0.05133928571428571,0.0390625,0.9937500938277564,4.248706108385118,-0.04101903449122465,-0.0410190297172594,1.4140837641020416,1183.0,3309.0,6695.0,22932.0,5512.0"
13,id,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/tate_artworks_t_1_id,1,tate_artworks_t_1,"0.002531447144435424,1.0,1.10517260948983,0.0,-0.04101906483095297,-0.041019056538706765,-0.041019079303829864,-0.09151880601433063,0.030301590131505605,-0.04101903796204566,-0.041019032569457645,-0.041019002246571026,0.36075949367088606,0.060126582278481014,0.028481012658227847,0.06962025316455696,0.12658227848101267,0.12025316455696203,0.04113924050632911,0.0981012658227848,0.0949367088607595,0.6604355357649162,2.034452176189927,-0.04101903449121793,-0.04101902971719533,0.281041275299619,2450.0,6457.0,10551.0,16531.0,8101.0"
21,id,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/children_id2_id,1,tate_artworks_t_1,"-0.20863015980509708,0.08128654970760234,0.41255614910701466,0.0,-0.041019064831001824,-0.04101905653868753,-0.04101907930383505,-0.09151880601433063,-0.20414839850012548,-0.04101903796200651,-0.04101903256950939,-0.041019002246571026,0.45323741007194246,0.09352517985611511,0.03597122302158273,0.050359712230215826,0.05755395683453238,0.07913669064748201,0.07194244604316546,0.10071942446043165,0.05755395683453238,3.1096528617689696,24.49564039875102,-0.041019034491297686,-0.0410190297173556,4.312846812161056,63.0,111.0,165.0,20114.0,102.0"
31,startYear,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/startYear,1,tate_artworks_t_1,"-0.2515782832524596,0.3259493670886076,0.43048817015613977,0.0,-0.04101906483099391,-0.041019056538784876,-0.04101907930381655,-0.09151880601433063,-0.2518331419506267,-0.041019037962198385,-0.04101903256957568,-0.041019002246571026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06067898047236431,2.913595443084283,-0.04101903449133549,-0.04101902971735564,-1.0505842228644797,1782.0,1915.0,1951.0,1976.0,169.0"
36,movementCount,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/movementCount,1,tate_artworks_t_1,"-0.3696856227327066,0.012658227848101266,-1.2274925703701518,0.0,-0.04101906483100857,-0.04101905653879546,-0.0410190793038352,-0.09151880601433063,-0.3829661864395051,-0.04101903796220238,-0.04101903256957859,-0.041019002246571026,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.447213595499958,1.6399999999999997,-0.04101903449133835,-0.04101902971735758,0.0,1.0,2.0,3.0,4.0,2.0"
44,endYear,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/endYear,1,tate_artworks_t_1,"-0.2491922763942728,0.3322784810126582,0.42496998321827856,0.0,-0.04101906483099391,-0.041019056538784876,-0.04101907930381655,-0.09151880601433063,-0.24918398953670998,-0.041019037962198385,-0.04101903256957569,-0.041019002246571026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060350843115955816,2.911018958443116,-0.04101903449133549,-0.04101902971735568,-1.042355889452858,1782.0,1916.0,1950.0,1976.0,168.0"
55,birthYear,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/birthYear,1,tate_artworks_t_1,"-0.2539642901106464,0.31962025316455694,0.44872646841487257,0.0,-0.041019064830994025,-0.041019056538785036,-0.0410190793038173,-0.09151880601433063,-0.25448229436454345,-0.041019037962198066,-0.041019032569575856,-0.041019002246571026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05749727971297343,4.474255777729274,-0.04101903449133591,-0.04101902971735621,-1.5679361942015502,1830.0,1889.0,1917.0,1946.0,87.0"
60,contributorCount,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/contributorCount,1,tate_artworks_t_1,"-0.3732646330199868,0.0031645569620253164,-1.46274135716993,0.0,-0.041019064831008575,-0.04101905653879548,-0.0410190793038352,-0.09151880601433063,-0.3869399150603802,-0.04101903796220241,-0.04101903256957861,-0.041019002246571026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041019034491338376,-0.04101902971735762,0.0,1.0,1.0,1.0,1.0,0.0"
69,id,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/id,1,tate_artworks_t_1,"-0.13466394720130603,0.6360759493670886,0.8037394078845371,0.0,-0.04101906483099924,-0.041019056538782975,-0.04101907930383494,-0.09151880601433063,-0.12202467366870667,-0.04101903796217993,-0.041019032569563726,-0.041019002246571026,0.5572139303482587,0.12437810945273632,0.029850746268656716,0.009950248756218905,0.03980099502487562,0.06965174129353234,0.05970149253731343,0.05970149253731343,0.04975124378109453,0.483305862671115,2.082689263016363,-0.0410190344913236,-0.041019029717339,-0.1616320068085892,750.0,1186.0,1671.0,2330.0,921.0"
76,id,http://www.essi.upc.edu/DTIM/NextiaDI/DataSource/Schema/1/children_id,1,tate_artworks_t_1,"-0.3565625850126792,0.014084507042253521,-0.38393765156039406,0.0,-0.04101906483100791,-0.04101905653879449,-0.04101907930383506,-0.09151880601433063,-0.36839584816296306,-0.041019037962200744,-0.04101903256957729,-0.041019002246571026,0.4666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.5926545193798304,1.949721484914219,-0.04101903449133702,-0.04101902971735608,0.39312315741682435,40.0,78.0,132.0,184.0,92.0"
